RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1274,2-1298-01,2,1298,1,,,Ann,Fearnley,,,Warrington,Lancashire,,,,
1275,2-1298-02,2,1298,2,,,Thomas,Rawden,,merchant,London,London,,,,
1276,2-1298-03,2,1298,3,,,William,Thurman,senior,,Devizes,Wiltshire,,,,
1277,2-1298-03,2,1298,3,,,William,Thurman,junior,,Devizes,Wiltshire,,,,
1278,2-1299-01,2,1299,1,,,William,Allenson,,,Wem,Shropshire,,,,
1279,2-1299-02,2,1299,2,,,Lawrence,Breres,,,Whittle,Lancashire,,,,
1280,2-1299-03,2,1299,3,,,William,Cox,DD,,Chichester,Sussex,Petworth,Sussex,,
1281,2-1299-04,2,1299,4,,,John,Fanshaw,,,Parslow,Essex,,,,
1282,2-1299-04,2,1299,4,,,Lawrence,Parkinson,,,Swineshead,Lancashire,,,,
1283,2-1301-01,2,1301,1,,Sir,Thomas,Stafford,,,"Savoy, Strand",Middlesex,,,,
1284,2-1302-01,2,1302,1,,Sir,Jacob,Astley,,,Melton Constable,Norfolk,,Kent,,
1285,2-1302-01,2,1302,1,,,Agnes,Astley,,widow of Sir Jacob,,,,,,
1286,2-1303-01,2,1303,1,,Sir,Lewis,Dives,,,Bromham,Bedfordshire,,,,
1287,2-1303-01,2,1303,1,,,Beatrice,,Countess of Bristol,mother of Sir Lewis Dives,,,,,,
1288,2-1308-01,2,1308,1,,,Thomas,Fuller,DD,,"Savoy, Strand",Middlesex,"the Crown, Paul's Churchyard, London",London,,
1289,2-1308-02,2,1308,2,,Sir,Richard,Byron,esquire,,Strelley,Nottinghamshire,,,,
1290,2-1308-03,2,1308,3,,,Giles,Carter,,,Turkdean,Gloucestershire,Netherswell,Gloucestershire,,
1291,2-1308-04,2,1308,4,,,John,Hurst,,,Barrowby,Lincolnshire,,,,
1292,2-1309-01,2,1309,1,,,John,Jermyn,,,Warkleigh,Devon,,,,
1293,2-1309-02,2,1309,2,,,Joshua,Nuttall,,,Church,Lancashire,,,,
1294,2-1309-03,2,1309,3,,,John,Warriner,,,Knaresborough,Yorkshire,,,,
1295,2-1309-04,2,1309,4,,,Thomas,Grant,,,Allington,Lincolnshire,,,,
1296,2-1309-05,2,1309,5,,,Edward,Aylmer,,clerk,Akenham,Suffolk,,,,
1297,2-1309-06,2,1309,6,,,Richard,Browne,,,Upton,Cheshire,,,,
1298,2-1310-01,2,1310,1,,,Thomas,Hurst,DD,,Barrowby,Lincolnshire,,,,
1299,2-1311-01,2,1311,1,,,John,Morley,,clerk,Wootton-Courtney,Somerset,,,,
1300,2-1311-02,2,1311,2,,,George,Thorold,,,Boston,Lincolnshire,,,,
1301,2-1311-02,2,1311,2,,,Joseph,Thorold,,,Boston,Lincolnshire,,,,
1302,2-1311-03,2,1311,3,,,Adam,Cranwell,,clerk,Rippingale,Lincolnshire,,,,
1303,2-1311-04,2,1311,4,,Sir,Francis,Fulford,,,Fulford,Devon,,,,
1304,2-1312-01,2,1312,1,,,Robert,Turner,,,Axminster,Devon,,,,
